track_pt,track_eta,track_phi,det_raw_id
1000.94,1.38597,0.422702,604018200 604018208 604021784 604021792 604025880 604025888 604029976 604029984 637607942 637607974 637608042 637612038 637612070 637612138 637640778 637640810 637644874 
325.127,-1.14721,0.182797,574914560 604054544 604058640 637571144 637632525 637634573 637636648 
326.643,1.14711,-2.9588,576618496 604021920 604026016 637571530 637604266 637633309 637635357 637637002 637637034 
659.463,-2.29032,-1.5973,604050144 604050656 604054128 604058224 604062320 
1452.34,2.2904,1.54433,604017232 604017744 604021288 604025384 604029480 
177.345,-1.61249,0.32938,604049944 604050456 604050968 604054032 604058648 604062744 637575268 637608004 637640708 637640740 687882784 687899168 
166.538,1.61241,-2.81232,604017320 604017832 604018344 604026024 604030120 637575654 637608390 637641094 637641126 687887394 687903778 
26.869,-0.200403,-1.52245,577339392 581533696 585728000 590938112 637568149 637568181 637570197 637570229 637572309 637572337 
26.8871,0.201144,1.61927,575766528 579960832 584155136 637567381 637567413 637567445 637569429 637569461 
313.606,-1.1984,-1.94218,577011712 604051152 604054736 604058832 604062928 637571588 637571656 637633549 637637160 
326.253,1.19819,1.19942,575569920 604018240 604021824 604025920 604030016 637571206 637571274 637604042 637632797 637636778 
606.627,-1.28855,0.352041,604050968 604054552 604058648 604062744 637575172 637575204 637608008 637608040 
670.783,1.28862,-2.78974,604018344 604021928 604026024 604030120 637575558 637575590 637575658 637608394 637608426 
257.251,0.700243,-2.72351,576847872 581042176 585269248 589463552 637567965 637633433 637633465 637633533 637635481 
258.675,-0.700427,0.418002,575209472 579403776 583565312 587759616 637567181 637632657 637632689 637634705 637636845 
356.045,-1.95366,1.74386,604050008 604050520 604054064 604058160 604062256 687884832 687901216 
316.214,1.95356,-1.39764,604017384 604017896 604021368 604025464 604029560 637575746 637575778 687889442 687905826 
774.92,0.0664979,-1.34166,577339392 581795840 585728000 590970880 637633685 637635733 637637845 637637877 
650.941,-0.0669864,1.79984,575766528 580222976 584155136 590708736 637632917 637634965 637637077 637641205 637645301 
