det_raw_id,sub_det
584500224,DT
584501248,DT
584502272,DT
584503296,DT
584508416,DT
584509440,DT
584510464,DT
584511488,DT
584623104,DT
584624128,DT
584625152,DT
584626176,DT
584631296,DT
584632320,DT
584633344,DT
584634368,DT
584639488,DT
584640512,DT
584641536,DT
584642560,DT
584655872,DT
584656896,DT
584657920,DT
584658944,DT
584664064,DT
584665088,DT
584666112,DT
584667136,DT
584672256,DT
584673280,DT
584674304,DT
584675328,DT
584688640,DT
584689664,DT
584690688,DT
584691712,DT
584696832,DT
584697856,DT
584698880,DT
584699904,DT
584705024,DT
584706048,DT
584707072,DT
584708096,DT
584721408,DT
584722432,DT
584723456,DT
584724480,DT
584729600,DT
584730624,DT
584731648,DT
584732672,DT
584737792,DT
584738816,DT
584739840,DT
584740864,DT
584754176,DT
584755200,DT
584756224,DT
584757248,DT
584762368,DT
584763392,DT
584764416,DT
584765440,DT
584770560,DT
584771584,DT
584772608,DT
584773632,DT
584885248,DT
584886272,DT
584887296,DT
584888320,DT
584893440,DT
584894464,DT
584895488,DT
584896512,DT
584901632,DT
584902656,DT
584903680,DT
584904704,DT
584918016,DT
584919040,DT
584920064,DT
584921088,DT
584926208,DT
584927232,DT
584928256,DT
584929280,DT
584934400,DT
584935424,DT
584936448,DT
584937472,DT
584950784,DT
584951808,DT
584952832,DT
584953856,DT
584958976,DT
584960000,DT
584961024,DT
584962048,DT
584967168,DT
584968192,DT
584969216,DT
584970240,DT
584983552,DT
584984576,DT
584985600,DT
584986624,DT
584991744,DT
584992768,DT
584993792,DT
584994816,DT
584999936,DT
585000960,DT
585001984,DT
585003008,DT
585016320,DT
585017344,DT
585018368,DT
585019392,DT
585024512,DT
585025536,DT
585026560,DT
585027584,DT
585032704,DT
585033728,DT
585034752,DT
585035776,DT
585147392,DT
585148416,DT
585149440,DT
585150464,DT
585155584,DT
585156608,DT
585157632,DT
585158656,DT
585163776,DT
585164800,DT
585165824,DT
585166848,DT
585180160,DT
585181184,DT
585182208,DT
585183232,DT
585188352,DT
585189376,DT
585190400,DT
585191424,DT
585196544,DT
585197568,DT
585198592,DT
585199616,DT
585212928,DT
585213952,DT
585214976,DT
585216000,DT
585221120,DT
585222144,DT
585223168,DT
585224192,DT
585229312,DT
585230336,DT
585231360,DT
585232384,DT
585245696,DT
585246720,DT
585247744,DT
585248768,DT
585253888,DT
585254912,DT
585255936,DT
585256960,DT
585262080,DT
585263104,DT
585264128,DT
585265152,DT
585278464,DT
585279488,DT
585280512,DT
585281536,DT
585286656,DT
585287680,DT
585288704,DT
585289728,DT
585294848,DT
585295872,DT
585296896,DT
585297920,DT
585409536,DT
585410560,DT
585411584,DT
585412608,DT
585417728,DT
585418752,DT
585419776,DT
585420800,DT
585425920,DT
585426944,DT
585427968,DT
585428992,DT
585442304,DT
585443328,DT
585444352,DT
585445376,DT
585450496,DT
585451520,DT
585452544,DT
585453568,DT
585458688,DT
585459712,DT
585460736,DT
585461760,DT
585475072,DT
585476096,DT
585477120,DT
585478144,DT
585483264,DT
585484288,DT
585485312,DT
585486336,DT
585491456,DT
585492480,DT
585493504,DT
585494528,DT
585507840,DT
585508864,DT
585509888,DT
585510912,DT
585516032,DT
585517056,DT
585518080,DT
585519104,DT
585524224,DT
585525248,DT
585526272,DT
585527296,DT
585540608,DT
585541632,DT
585542656,DT
585543680,DT
585548800,DT
585549824,DT
585550848,DT
585551872,DT
585556992,DT
585558016,DT
585559040,DT
585560064,DT
585671680,DT
585672704,DT
585673728,DT
585674752,DT
585679872,DT
585680896,DT
585681920,DT
585682944,DT
585688064,DT
585689088,DT
585690112,DT
